username;date;retweets;favorites;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TajanaKorkyra;2015/11/30;1;6;"Most će u četvrtak predložiti Podolnjaka za predsjednika Sabora (ipak se priča o funkcijama:)) #politikahr #izboriHR http://www.telegram.hr/politika;kriminal/u;mostu;svi;pricaju;da;ce;u;cetvrtak;na;konstituirajucoj;sjednici;predloziti;podolnjaka;za;predsjednika;sabora/ …";;;;;;;;;;;;;;;
smarekovich;2015/11/30;8;18;"Bono approves #Most #izboriHR pic.twitter.com/DthJZWk4dX";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNSVojvodina;2015/11/30;101;112;"Апсолутна победа СНС ; a у Бечеју | Српска напредна странка Војводина #Vojvodina #Becej #izbori http://goo.gl/FxmE7V ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lada_Niva_4x4;2015/11/30;10;18;"a MOZDA I BUDU IZBORI ?!! pic.twitter.com/WJgeMkvJmg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TajanaKorkyra;2015/11/30;1;13;"ja bi da su novi izbori samo da Aleksandra Kolarić opet reče da neće ništa pisat o politici jer je kampanja #izboriHR #samokazem";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TalkingFlash;2015/11/30;1;14;"Ono što nismo juče videli na premijeri predstave, a biće igrano u redovnim izdanjima ; IZBORI SE BLIŽE!";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dpozaric;2015/11/29;1;4;"MOST #izboriHR pic.twitter.com/vNEH9thpkP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex74Djukic;2015/11/29;8;27;"Kada za koji mesec budu izbori, setite se današnjeg dana. #samokazem";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mihaela_sl;2015/11/29;0;0;"http://www.vecernji.hr/izbori2015/stipe;petrina;nek;se;predsjednica;javno;ocituje;o;cemu;je;u;cetiri;oka;razgovarala;s;petrovim;1040943 … "i wanna be in the room where it happens"";;;;;;;;;;;;;;;
dkocis;2015/11/28;0;0;"Check it out! The most used words in tweets with #izbori2015 ; Made with @TweetrootApp pic.twitter.com/zttIAytvZH";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Istra_daily;2015/11/28;0;1;"Burn the bridge to light the way. #most #izborihr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zoranaa_Nikolic;2015/11/27;24;48;"Vreme je za osvajanje vlasti na svim opstinama! #izbori #sns @jovicic_alex pic.twitter.com/cjIwGU5sZp";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
