date(izbori2015_created_at),count(*)
10/01/15,16
11/01/15,774
12/01/15,73
13/01/15,5
14/01/15,9
15/01/15,4
16/01/15,2
17/01/15,2
19/01/15,3
20/01/15,2
22/01/15,2
25/01/15,1
26/01/15,1
27/01/15,1
31/01/15,1
01/02/15,1
02/02/15,2
04/02/15,1
09/02/15,1
10/02/15,1
12/02/15,1
16/02/15,1
17/02/15,2
20/02/15,4
23/02/15,4
26/02/15,1
28/02/15,1
02/03/15,3
03/03/15,2
04/03/15,2
05/03/15,1
07/03/15,1
08/03/15,9
09/03/15,4
13/03/15,1
16/03/15,2
19/03/15,2
21/03/15,6
22/03/15,4
23/03/15,2
25/03/15,1
26/03/15,1
27/03/15,1
28/03/15,1
02/04/15,1
03/04/15,1
06/04/15,1
07/04/15,3
11/04/15,2
13/04/15,2
20/04/15,1
25/04/15,1
30/04/15,4
01/05/15,2
02/05/15,1
04/05/15,1
05/05/15,1
06/05/15,1
11/05/15,1
12/05/15,4
14/05/15,1
15/05/15,1
18/05/15,1
19/05/15,2
20/05/15,3
21/05/15,1
25/05/15,3
31/05/15,1
08/06/15,1
12/06/15,3
15/06/15,1
20/06/15,1
26/06/15,1
02/07/15,1
12/07/15,2
15/07/15,1
16/07/15,1
20/07/15,1
26/07/15,1
29/07/15,1
14/08/15,2
17/08/15,1
18/08/15,3
19/08/15,5
20/08/15,2
26/08/15,2
28/08/15,2
30/08/15,2
01/09/15,2
02/09/15,2
03/09/15,1
04/09/15,2
06/09/15,3
08/09/15,5
09/09/15,1
10/09/15,2
11/09/15,1
12/09/15,4
13/09/15,4
14/09/15,6
15/09/15,4
16/09/15,1
17/09/15,4
18/09/15,2
19/09/15,1
20/09/15,2
21/09/15,4
22/09/15,1
23/09/15,3
24/09/15,13
25/09/15,3
26/09/15,13
27/09/15,10
28/09/15,14
29/09/15,8
30/09/15,13
01/10/15,47
02/10/15,20
03/10/15,27
04/10/15,25
05/10/15,135
06/10/15,120
07/10/15,98
08/10/15,63
09/10/15,54
10/10/15,57
11/10/15,70
12/10/15,125
13/10/15,156
14/10/15,123
15/10/15,110
16/10/15,123
17/10/15,119
18/10/15,127
19/10/15,185
20/10/15,175
21/10/15,161
22/10/15,157
23/10/15,118
24/10/15,118
25/10/15,121
26/10/15,150
27/10/15,188
28/10/15,202
29/10/15,224
30/10/15,226
31/10/15,170
01/11/15,117
02/11/15,263
03/11/15,244
04/11/15,317
05/11/15,371
06/11/15,425
07/11/15,203
08/11/15,4235
09/11/15,1221
10/11/15,327
11/11/15,399
12/11/15,297
13/11/15,155
14/11/15,33
15/11/15,27
16/11/15,66
17/11/15,72
18/11/15,19
19/11/15,33
20/11/15,13
21/11/15,14
23/11/15,4
24/11/15,28
25/11/15,194
26/11/15,209
27/11/15,256
28/11/15,119
29/11/15,194
30/11/15,228
01/12/15,171
02/12/15,209
03/12/15,514
04/12/15,251
05/12/15,172
06/12/15,130
07/12/15,724
08/12/15,206
09/12/15,200
10/12/15,193
11/12/15,179
12/12/15,155
13/12/15,95
14/12/15,281
15/12/15,391
16/12/15,369
17/12/15,185
18/12/15,222
19/12/15,358
20/12/15,384
21/12/15,337
22/12/15,1016
23/12/15,1092
24/12/15,233
25/12/15,55
26/12/15,85
27/12/15,125
28/12/15,566
29/12/15,293
30/12/15,247
31/12/15,120
01/01/16,37
02/01/16,137
03/01/16,152
04/01/16,257
05/01/16,193
06/01/16,156
07/01/16,160
08/01/16,166
09/01/16,125
10/01/16,97
11/01/16,183
12/01/16,153
13/01/16,195
14/01/16,162
15/01/16,200
16/01/16,83
17/01/16,214
18/01/16,219
19/01/16,185
20/01/16,212
21/01/16,185
