izbori2015_user,count(*)
PolitikaPlus,1155
SunnyCAnderson,861
EdvardBusic,688
24sata_HR,544
bglavasevic,534
kmacan,427
MaroAlavanja,399
hrtizbori,392
vijestihr,392
balkan021,342
vecernji_list,331
KingDalmatia,323
narodhr,262
cRo4Ti4,256
pogledizstklma,244
novahr,239
SilverSpace,217
vdulabic,214
TajanaKorkyra,199
DCMusicCRO,184
SDPHrvatske,182
SticVilinstic,168
Alex_Kolaric,163
predsjednik_,163
RodaLetic,155
RatkoSimic,154
dnevnikhr,153
SEEbiz_,153
filipraunic,147
JosipVujcic,147
VitoSaric,147
BrookAdler,145
dpozaric,141
jutarnjihr,137
johnnybstard,136
lonto12,132
AdujmovicAnne,127
ivan_poskok,125
Alma_Begic12,121
mmarusic88,121
marko_boko,115
novilisthr,113
vonmacor,112
s_moskov,110
damir_djk,109
AnamariaRadi,107
HuzHtv,107
N1infoZG,106
naroz_cidnam,100
FranKuseta,97
AnteDubravac,96
Tom_M_Novak,95
kizo2703,94
DejanHaj,92
JuricNovaTV,91
Bruno_AFK,90
domagojsever,87
mijicmate,86
markojurci,85
KonzervativciHR,83
Barometar_hr,79
HelenaPuljiz,73
MarioFabekovec,73
Sjor_antonio,73
FrankaOreb,71
Istra_daily,71
hrtvijesti,70
dragutinb,69
HrNezavisni,69
BSuhic,66
DJGIGO,66
MladenSS,66
Twitexter,66
pametno_org,65
FaktografHR,62
kucilooro,62
StKruno,62
mbajkusa,61
HRT05HSV,59
MamicAnkica,58
branaja,57
JednaHercegovka,57
riabilic,57
bishonen_,56
NessaSaelind,56
Co_Brays,55
kerumm,55
yOy0dEv,55
JelkicaB,54
typicalbright,53
hrvojecirkvenec,52
marko_matijevic,52
rhelune,52
talajlama,52
maljciki,51
acalic3,50
HomoPoliticusBD,50
VjekoslavDjaic,50
vprahic,49
ljubija13,48
NeoZG,48
JurajBuksa,47
KVidic,47
Thompsonica_,47
AntenaZgbNEWS,46
jklaric,46
fahrenheit451z,45
AnkaLada,44
IlijaJandric,44
jahicsara,44
MijicKomparic,44
nos_kos,44
otk_01,44
Prajdizan,44
velentajn,43
basket3ca,42
BychkovDavid,42
ivan_s_chapter,42
PortalDalje,42
onakoja,41
dariomarkas,40
jane_doh5,40
MladenVZG,40
ORaHrvatske,40
tkosor,40
Tkrajac,40
anabrakus,39
CMSZagreb,39
Daanica,39
dmerlic,39
Hrky_18,39
moskalva,39
Nethr,39
viborc,39
ThunderSturm7,38
Hrki_zg,37
kbrecic,37
AnaHotko,36
Elvir_Mesanovic,36
horvat_antun,36
Justinian3rd,36
sviborjancic,36
tweetijatar,36
AdelinaMarini,35
DMedic84,35
EsmirMilavic,35
grexovic,35
Masa_ST1950,35
SimplyLoveLea,35
svitlabaja,35
flyMaja,34
IKopric,34
komacore,34
mhinic_,34
NansiTireli,34
tportal,34
dorakrsul,33
hkresic,33
Kal_ORyffer,33
malimujo,33
LijeniHinko,32
15422R,31
AgentTajneSile,31
lpalunko,31
RanzousZoxy,31
saramaddow,31
vooneni,31
hspas_hr,30
vesmislov,30
alitaisonfire,29
brancoke,29
dariodalmacija,29
Franko12,29
marin_zivkovic,29
Panonski,29
Vojkovic,29
CleanAdriatic,28
fatherBorna,28
jasmin_hamzic,28
N8Tomo,28
Novi_Put_15,28
perotanta,28
SStruna,28
AnamarijaSoco,27
dcrncec,27
dkocis,27
PLakotic,27
didulca,26
kolar_ana,26
lifeonground,26
Mmatejci,26
scvetojevic,26
skener112,26
TalmiZG,26
Zaboky,26
ani_relja,25
BastasicD,25
cromarko,25
dhajdukovic,25
irupcic6,25
jurezubcic,25
KegaljRobi,25
Mariyano89,25
markobozac,25
stipe_petrina,25
yellena_p,25
hrvoje21,24
IvanDermicek,24
lakatwalk,24
MrezaDesno,24
NS_reformisti,24
caitos3,23
ervodje,23
HRTotvoreno,23
kresimirr,23
marija_lugaric,23
marina_b612,23
smarekovich,23
suncek,23
tihanaculjak,23
za_grad,23
bojanmilicevic,22
emanuelblagonic,22
euinside,22
igorcelikovic,22
Jadranka0509,22
MersihaN,22
nevenbarkovic,22
sampjer,22
svushi,22
tenaprelec,22
VivaLaChinchi,22
zdeslavmilas,22
aa_balkans,21
anka_mrak,21
CroL_Hr,21
Gox77,21
IPticek,21
MeritaArslani,21
mmh_cyn,21
N1info,21
njofranjofra,21
plavalinija,21
RTLTelevizija,21
TeresaFritschi,21
zriha,21
1dalmat,20
bsimun,20
iPostruzin,20
izbori2015_16,20
jakovzizic,20
KatarinaKom,20
lajfizbjutiful,20
Ma1rko,20
Mladen100po100,20
mmuzek,20
NLMost,20
PetarPhys,20
SPuktalovic,20
andrewmacdowall,19
AnkicaL,19
Djidji__,19
ElizabetaGojan,19
ibrksi,19
IronTGirl,19
Kirilova_Kiri,19
lijepanasa,19
MarsFields,19
matej_misic,19
nenadlotina,19
netkodrugi,19
Ognjen_UpWork,19
OnlyProvocateur,19
Pehroo,19
PooBearHR,19
skyslovenia,19
Stipicav,19
VladaRH,19
DidaJure,18
DragoPrgomet,18
JanKolacek,18
KarloKonig,18
marincuric,18
NinoCosic,18
RacicTina,18
tylersk,18
Velvetlusia,18
alxivnttc,17
hafomatic,17
kikapasaric13,17
PanchoVonSastre,17
rajt_vinger,17
RuzaTomasic,17
SandraLupusovic,17
SeverMaja,17
azavada,16
beerokrat_,16
damirdamir20,16
dubacz,16
HRT4Studio4,16
jack_beem,16
jacques00011,16
KarloPetrovic,16
korzi42,16
kristina_laus,16
